1,肖申克的救赎,9.7,1994,美国,犯罪 剧情
2,霸王别姬,9.6,1993,中国大陆 中国香港,剧情 爱情 同性
3,阿甘正传,9.5,1994,美国,剧情 爱情
4,这个杀手不太冷,9.4,1994,法国 美国,剧情 动作 犯罪
5,泰坦尼克号,9.4,1997,美国,剧情 爱情 灾难
6,美丽人生,9.5,1997,意大利,剧情 喜剧 爱情 战争
7,千与千寻,9.4,2001,日本,剧情 动画 奇幻
8,辛德勒的名单,9.5,1993,美国,剧情 历史 战争
9,盗梦空间,9.3,2010,美国 英国,剧情 科幻 悬疑 冒险
10,忠犬八公的故事,9.4,2009,美国 英国,剧情
11,星际穿越,9.3,2014,美国 英国 加拿大,剧情 科幻 冒险
12,海上钢琴师,9.3,1998,意大利,剧情 音乐
13,楚门的世界,9.3,1998,美国,剧情 科幻
14,三傻大闹宝莱坞,9.2,2009,印度,剧情 喜剧 爱情 歌舞
15,机器人总动员,9.3,2008,美国,科幻 动画 冒险
16,放牛班的春天,9.3,2004,法国 瑞士 德国,剧情 音乐
17,大话西游之大圣娶亲,9.2,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
18,疯狂动物城,9.2,2016,美国,喜剧 动画 冒险
19,熔炉,9.3,2011,韩国,剧情
20,无间道,9.2,2002,中国香港,剧情 犯罪 悬疑
21,教父,9.3,1972,美国,剧情 犯罪
22,当幸福来敲门,9.1,2006,美国,剧情 传记 家庭
23,龙猫,9.2,1988,日本,动画 奇幻 冒险
24,怦然心动,9.1,2010,美国,剧情 喜剧 爱情
25,控方证人,9.6,1957,美国,剧情 犯罪 悬疑
26,触不可及,9.2,2011,法国,剧情 喜剧
27,蝙蝠侠：黑暗骑士,9.2,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚
28,活着,9.3,1994,中国大陆 中国香港,剧情 历史 家庭
29,末代皇帝,9.3,1987,英国 意大利 中国大陆 法国,剧情 传记 历史
30,寻梦环游记,9.1,2017,美国,喜剧 动画 奇幻 音乐
31,乱世佳人,9.3,1939,美国,剧情 历史 爱情 战争
32,何以为家,9.1,2018,黎巴嫩 法国 美国,剧情
33,指环王3：王者无敌,9.2,2003,美国 新西兰,剧情 动作 奇幻 冒险
34,飞屋环游记,9.0,2009,美国,剧情 喜剧 动画 冒险
35,摔跤吧！爸爸,9.0,2016,印度,剧情 传记 运动 家庭
36,哈利·波特与魔法石,9.1,2001,美国 英国,奇幻 冒险
37,素媛,9.3,2013,韩国,剧情
38,少年派的奇幻漂流,9.1,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险
39,十二怒汉,9.4,1957,美国,剧情
40,哈尔的移动城堡,9.1,2004,日本,动画 奇幻 冒险
41,鬼子来了,9.3,2000,中国大陆,剧情 喜剧
42,天空之城,9.1,1986,日本,动画 奇幻 冒险
43,大话西游之月光宝盒,9.0,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
44,我不是药神,9.0,2018,中国大陆,剧情 喜剧
45,闻香识女人,9.1,1992,美国,剧情
46,罗马假日,9.0,1953,美国,喜剧 剧情 爱情
47,天堂电影院,9.2,1988,意大利 法国,剧情 爱情
48,辩护人,9.2,2013,韩国,剧情
49,猫鼠游戏,9.0,2002,美国 加拿大,传记 犯罪 剧情
50,搏击俱乐部,9.0,1999,美国 德国 意大利,剧情 动作 悬疑 惊悚
